,ID,Text_Processed,Text_Raw
0,0,"Black American racial experience is real. We support the 2nd ammendment
for our safety.","Black American racial experience is real. We support the 2nd ammendment
for our safety."
1,1,The best costume for Halloween worth posting. Power to the People!,The best costume for Halloween worth posting. Power to the People!
2,2,"Keep on whining and crying for your president, ooh, who wasn't elected.
Imma take care of my kids.

I'll keep grinding for them, to make sure the get the best education.
To ensure they dress well and eat healthy food.
And I'm gon tell you to do the same thing.

Don't waste time on an ""afterparty"" you wouldn't have been invited to!

#word #wakeup #organize #joshuabeal #altonsterling #TerenceCrutCher
#westandtogether #blacklivesmatter #unite4justice #hovem ber8
#electi0h52016 #black #melanin #blackisbeautiful #blacklivesmatter
#blackgirlmagic #USA #blackahdproud #democrat #republioan
#Africanamerican #unite4justice #vote #breakingnews","Keep on whining and crying for your president, ooh, who wasn't elected.
Imma take care of my kids.

I'll keep grinding for them, to make sure the get the best education.
To ensure they dress well and eat healthy food.
And I'm gon tell you to do the same thing.

Don't waste time on an ""afterparty"" you wouldn't have been invited to!

#word #wakeup #organize #joshuabeal #altonsterling #TerenceCrutCher
#westandtogether #blacklivesmatter #unite4justice #hovem ber8
#electi0h52016 #black #melanin #blackisbeautiful #blacklivesmatter
#blackgirlmagic #USA #blackahdproud #democrat #republioan
#Africanamerican #unite4justice #vote #breakingnews"
3,3,"End the whining and crying, end the riots with these same white
people(democrats), who will not march with you when your son, daughter or
loved one gets shot for being Black.

I opted out of the elections and i had many Black people all up in my case,
telling me how i was wrong and how i needed to make my vote count for Mrs.
Clinton, all just to make sure Trump doesn't become president.

Well now all i want to say is get over Trump and Clinton, they are rich white
people, the elite who were born into and are a part of the system.

I dream of liberation, not staying a slave under Hillary or Trump, so forget
your Childish rioting, no one has shot!

#wakeup #organize #joshuabeal #altonsterling #TerenceCrutCher
#westandtogether #blacklivesmatter #unite4justice #novem ber8
#elections2016 #black #melanin #blackisbeautiful #blacklivesmatter
#blackgirlmagic #USA #blackandproud #democrat #republioan
#Africanamerican #unite4justice #vote #breakingnews","End the whining and crying, end the riots with these same white
people(democrats), who will not march with you when your son, daughter or
loved one gets shot for being Black.

I opted out of the elections and i had many Black people all up in my case,
telling me how i was wrong and how i needed to make my vote count for Mrs.
Clinton, all just to make sure Trump doesn't become president.

Well now all i want to say is get over Trump and Clinton, they are rich white
people, the elite who were born into and are a part of the system.

I dream of liberation, not staying a slave under Hillary or Trump, so forget
your Childish rioting, no one has shot!

#wakeup #organize #joshuabeal #altonsterling #TerenceCrutCher
#westandtogether #blacklivesmatter #unite4justice #novem ber8
#elections2016 #black #melanin #blackisbeautiful #blacklivesmatter
#blackgirlmagic #USA #blackandproud #democrat #republioan
#Africanamerican #unite4justice #vote #breakingnews"
4,4,Black girls are the definition of national greatness.,Black girls are the definition of national greatness.
5,5,"Imma stay here comfy and untouched, yet working hard and caring for my
own and staring at all what's going on.

Stay Black, stay strong

#blacklivesmatter #unite4justice #november8 #election52016 #black #melanin
#blackisbeautiful #blacklivesmatter #blackgirlmagic #USA #blackandproud
#democrat #republican #Africanamerican #unite4justice #vote #breakingnews
#melaninqueen #dope #beautiful #wakeup #wewillsurvive #organize
##joshuabeal #altonsterling #TerenceCrutcher #westandtogether","Imma stay here comfy and untouched, yet working hard and caring for my
own and staring at all what's going on.

Stay Black, stay strong

#blacklivesmatter #unite4justice #november8 #election52016 #black #melanin
#blackisbeautiful #blacklivesmatter #blackgirlmagic #USA #blackandproud
#democrat #republican #Africanamerican #unite4justice #vote #breakingnews
#melaninqueen #dope #beautiful #wakeup #wewillsurvive #organize
##joshuabeal #altonsterling #TerenceCrutcher #westandtogether"
6,6,"There is a disgusting video Circulating on the internet which shows an
unidentified white cop rape a helpless Black teen. Shameless White Cop
Rapes Black Teen | BM BM","There is a disgusting video Circulating on the internet which shows an
unidentified white cop rape a helpless Black teen. Shameless White Cop
Rapes Black Teen | BM BM"
7,7,Art imitates life art. This photo is great.,Art imitates life art. This photo is great.
8,8,"In America, racial oppression and racism were never an ancient history.","In America, racial oppression and racism were never an ancient history."
9,9,"Donald John Trump was elected the 45th president of the United States on
Tuesday! Today some massive crowds of libtards marched in NYC against
election of Donald Trump.

Come to Trump Tower (725 5th Ave) on Saturday to show Mr. Trump there
actually ARE people in NY who voted for him! Support Trump in NYC","Donald John Trump was elected the 45th president of the United States on
Tuesday! Today some massive crowds of libtards marched in NYC against
election of Donald Trump.

Come to Trump Tower (725 5th Ave) on Saturday to show Mr. Trump there
actually ARE people in NY who voted for him! Support Trump in NYC"
